,Objective,Objective,Objective,Objective,Objective,Objective,GAP%,GAP%,GAP%,GAP%,GAP%,GAP%
,ClosestNeighbor,Exact,Greedy,LocalSearch,MultiStart,TabuSearch,ClosestNeighbor,Exact,Greedy,LocalSearch,MultiStart,TabuSearch
Dataset,,,,,,,,,,,,
L1,44029.0,47522.0,46173.0,47783.0,47783.0,47140.0,7.856350584936066,0.5462193667203817,3.3693991586966074,0.0,0.0,1.3456668689701359
L2,38043.0,45060.0,43862.0,43948.0,44594.0,44312.0,15.572569906790946,0.0,2.6586773191300486,2.467820683533067,1.0341766533510874,1.6600088770528185
M1,20289.0,21099.0,20248.0,20439.0,21099.0,21099.0,3.8390445044788857,0.0,4.03336651026115,3.128110336982795,0.0,0.0
M2,20481.0,22448.0,22221.0,22221.0,22332.0,22497.0,8.961194825976797,0.21780681868693602,1.2268302440325376,1.2268302440325376,0.7334311241498866,0.0
S1,6183.0,7646.0,7646.0,7646.0,7646.0,7646.0,19.13418781061993,0.0,0.0,0.0,0.0,0.0
S2,7107.0,7449.0,7449.0,7449.0,7449.0,7449.0,4.59122029802658,0.0,0.0,0.0,0.0,0.0
XL1,84874.0,96092.0,94932.0,95924.0,96311.0,95924.0,11.875071383331083,0.22738835647018513,1.43181983366386,0.4018232600637518,0.0,0.4018232600637518
XXL1,248474.0,,250732.0,250788.0,250788.0,250788.0,0.9226916758377594,0.0,0.02232961704706764,0.0,0.0,0.0
test_tiny,142.0,142.0,142.0,142.0,142.0,142.0,0.0,0.0,0.0,0.0,0.0,0.0
